threshold,precision,recall,f1,fp,tp,fn,flagged
0.2,0.13397969807391982,0.9599067599067599,0.23513961057500143,13309,2059,86,15368
0.21,0.14344634743096818,0.9566433566433566,0.24948328267477204,12253,2052,93,14305
0.22,0.15366164455438122,0.9557109557109557,0.2647552628180292,11291,2050,95,13341
0.23,0.16474941678062907,0.9547785547785548,0.2810098792535675,10383,2048,97,12431
0.24,0.1752595007291756,0.9524475524475524,0.2960440515867266,9614,2043,102,11657
0.25,0.18661648613915918,0.9477855477855478,0.3118337295804893,8861,2033,112,10894
0.26,0.1982969560536361,0.9445221445221446,0.3277786765895486,8191,2026,119,10217
0.27,0.20964730290456432,0.9421911421911422,0.3429783623249894,7619,2021,124,9640
0.28,0.2224674464798058,0.9398601398601398,0.35977514053716425,7046,2016,129,9062
0.29,0.23442240373395565,0.9365967365967366,0.37498833411105925,6561,2009,136,8570
0.3,0.2470153846153846,0.9356643356643357,0.3908471275559883,6118,2007,138,8125
0.31,0.25966277561608303,0.9333333333333333,0.4062912227295789,5708,2002,143,7710
0.32,0.27271487039563436,0.931934731934732,0.42195250659630607,5331,1999,146,7330
0.33,0.28608284362906694,0.9305361305361305,0.43762332821749617,4981,1996,149,6977
0.34,0.2983508245877061,0.9277389277389277,0.4515031196823596,4680,1990,155,6670
0.35,0.31147026518123333,0.9254079254079254,0.4660718478516084,4388,1985,160,6373
0.36,0.3239528795811518,0.9230769230769231,0.47959307254450767,4132,1980,165,6112
0.37,0.33691756272401435,0.9202797202797203,0.49325337331334335,3885,1974,171,5859
0.38,0.34748010610079577,0.916083916083916,0.5038461538461538,3690,1965,180,5655
0.39,0.36040515653775324,0.9123543123543123,0.5166996699669967,3473,1957,188,5430
0.4,0.3745196003074558,0.9086247086247087,0.5304123009933325,3255,1949,196,5204
0.41,0.3860873031692246,0.9030303030303031,0.5409103602345714,3080,1937,208,5017
0.42,0.39682866556836904,0.8983682983682983,0.5504927867447508,2929,1927,218,4856
0.43,0.4088197699190456,0.8946386946386946,0.5611931568942828,2775,1919,226,4694
0.44,0.42119205298013246,0.8895104895104895,0.5716853932584269,2622,1908,237,4530
0.45,0.43204545454545457,0.8862470862470863,0.5809014514896867,2499,1901,244,4400
0.46,0.4453088165959453,0.8806526806526807,0.5915140128385784,2353,1889,256,4242
0.47,0.45819070904645476,0.8736596736596737,0.6011226944667202,2216,1874,271,4090
0.48,0.4719756530560487,0.8675990675990676,0.6113666228646518,2082,1861,284,3943
0.49,0.48227320125130346,0.8624708624708625,0.6186256478849691,1986,1850,295,3836
0.5,0.4966334500403986,0.8596736596736597,0.6295664049163537,1869,1844,301,3713
0.51,0.5086063298167685,0.8540792540792541,0.6375500261005742,1770,1832,313,3602
0.52,0.5207320560480412,0.848951048951049,0.6455157745480327,1676,1821,324,3497
0.53,0.5328811560011796,0.8424242424242424,0.6528179190751445,1584,1807,338,3391
0.54,0.5453438831405965,0.8354312354312354,0.6599153010495304,1494,1792,353,3286
0.55,0.5610759493670886,0.8265734265734266,0.668426013195099,1387,1773,372,3160
0.56,0.5787569878329497,0.8205128205128205,0.6787504820671038,1281,1760,385,3041
0.57,0.6005500171880371,0.8144522144522145,0.6913335971507717,1162,1747,398,2909
0.58,0.6209735146743021,0.8088578088578089,0.7025713707228184,1059,1735,410,2794
0.59,0.6431767337807607,0.8041958041958042,0.7147296457426974,957,1725,420,2682
0.6,0.6651053864168618,0.7944055944055944,0.7240280433397068,858,1704,441,2562
0.61,0.6846590909090909,0.7864801864801865,0.7320459969624648,777,1687,458,2464
0.62,0.7064297800338409,0.7785547785547785,0.7407407407407407,694,1670,475,2364
0.63,0.7248351648351649,0.7687645687645688,0.7461538461538462,626,1649,496,2275
0.64,0.7402538531278332,0.7613053613053613,0.7506320386118134,573,1633,512,2206
0.65,0.7571629873179897,0.7515151515151515,0.7543284978942443,517,1612,533,2129
0.66,0.7684159845931632,0.7440559440559441,0.7560397915679773,481,1596,549,2077
0.67,0.7815126050420168,0.737062937062937,0.758637236084453,442,1581,564,2023
0.68,0.7993842996408415,0.7263403263403263,0.761113825109917,391,1558,587,1949
0.69,0.813953488372093,0.717948717948718,0.7629427792915532,352,1540,605,1892
0.7,0.8297755883962781,0.7067599067599067,0.7633434038267876,311,1516,629,1827
0.71,0.8379290939786156,0.6941724941724942,0.7593064762876084,288,1489,656,1777
0.72,0.84891240446796,0.6731934731934732,0.750910036401456,257,1444,701,1701
0.73,0.8585485854858549,0.6508158508158508,0.7403871652081676,230,1396,749,1626
0.74,0.864951768488746,0.627039627039627,0.727027027027027,210,1345,800,1555
0.75,0.874251497005988,0.6125874125874126,0.7203947368421053,189,1314,831,1503
0.76,0.8816242257398486,0.5972027972027972,0.7120622568093385,172,1281,864,1453
0.77,0.8844221105527639,0.5743589743589743,0.6964386659129451,161,1232,913,1393
0.78,0.8934733683420856,0.5552447552447553,0.6848763657274296,142,1191,954,1333
0.79,0.9003115264797508,0.5389277389277389,0.6742490522018081,128,1156,989,1284
0.8,0.9052208835341365,0.5254079254079254,0.6648967551622419,118,1127,1018,1245
0.81,0.9112033195020747,0.5118881118881119,0.6555223880597015,107,1098,1047,1205
